Altium Designer Pick and Place Locations
C:\Altium 365\BC2077\KingTop_Output_Files\Assembly Outputs\Pick Place\Pick Place for BC2087(Production_MX).csv

========================================================================================================================
File Design Information:

Date:       08/06/23
Time:       11:34
Revision:   f90e7a7f3cb4bc0c45b14c1af4aaf3fdd92358ce
Variant:    Production_MX
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Manufacturer Part Number 1","Footprint","Footprint Description","Description","Comment"
"C41","43.3303mm","29.7010mm","180","BottomLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C42","43.3303mm","33.3824mm","0","BottomLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C43","43.3274mm","30.9398mm","0","BottomLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C44","41.2303mm","29.7010mm","0","BottomLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C45","36.8076mm","30.6928mm","270","TopLayer","GRM155R71A104JA01D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C46","43.3274mm","32.1918mm","0","BottomLayer","GRM155R61E105KA12D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 1UF 25V X5R 0402 10%","GRM155R61E105KA12D"
"C47","35.5880mm","30.6947mm","270","TopLayer","GRM155R61E105KA12D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 1UF 25V X5R 0402 10%","GRM155R61E105KA12D"
"C48","41.1600mm","26.5678mm","0","TopLayer","C0402C270J5GACTU","CAPC0402(1005)60_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.6mm, IPC Medium Density","CAP CER 27PF 50V C0G 0402 5%","C0402C270J5GACTU"
"C49","43.3051mm","26.5622mm","180","TopLayer","C0402C270J5GACTU","CAPC0402(1005)60_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.6mm, IPC Medium Density","CAP CER 27PF 50V C0G 0402 5%","C0402C270J5GACTU"
"C50","88.2000mm","24.3000mm","180","BottomLayer","CL21B104KCFNNNE","CAPC0805(2012)145_N","Chip Capacitor, Body 2.0x1.2mm, Height 1.45mm, IPC Medium Density","CAP CER 0.1UF 100V X7R 0805 10%","CL21B104KCFNNNE"
